product_id;product_name;price;duration_days;data_gb;streaming_gb_bonus;gaming_gb_bonus;social_gb_bonus;call_minutes_bonus;sms_bonus;roaming_days_bonus;target_offer
1;Data Pure Harian 1GB;6000;1;1;0;0;0;0;0;0;General Offer
2;Data Pure 3GB;15000;30;3;0;0;0;0;0;0;General Offer
3;Data Pure 5GB;25000;30;5;0;0;0;0;0;0;General Offer
4;Data Pure 10GB;45000;30;10;0;0;0;0;0;0;General Offer
5;Data Maxi 20GB;80000;30;20;0;0;0;0;0;0;General Offer
6;StreamMax Harian 3GB (1+2);10000;1;1;2;0;0;0;0;0;Streaming Offer
7;StreamMax 20GB (10+10);65000;30;10;10;0;0;0;0;0;Streaming Offer
8;StreamMax 40GB (15+25);100000;30;15;25;0;0;0;0;0;Streaming Offer
9;VideoPass 15GB (5+10);55000;30;5;10;0;0;0;0;0;Streaming Offer
10;VideoPass 60GB (20+40);150000;30;20;40;0;0;0;0;0;Streaming Offer
11;Ngobrol Irit 2GB (200mnt);25000;7;2;0;0;0;200;50;0;Voice Offer
12;Ngobrol Juara 5GB (500mnt);45000;30;5;0;0;0;500;100;0;Voice Offer
13;Ngobrol Puas 8GB (1000mnt);70000;30;8;0;0;0;1000;200;0;Voice Offer
14;TalkMax Bulanan 12GB (1500mnt);95000;30;12;0;0;0;1500;300;0;Voice Offer
15;Roaming Asia 3 Hari 3GB;130000;3;3;0;0;0;0;0;3;Roaming Offer
16;Roaming Asia 7 Hari 7GB;200000;7;7;0;0;0;0;0;7;Roaming Offer
17;Roaming Dunia 5 Hari 10GB;280000;5;10;0;0;0;0;0;5;Roaming Offer
18;Roaming Dunia 10 Hari 20GB;400000;10;20;0;0;0;0;0;10;Roaming Offer
19;SocmedFun Harian 3GB (1+2);9000;1;1;0;0;2;0;0;0;Social Offer
20;SocmedFun 10GB (5+5);40000;30;5;0;0;5;0;0;0;Social Offer
21;SocmedFun 25GB (10+15);75000;30;10;0;0;15;0;0;0;Social Offer
22;SocmedMax 40GB (15+25);110000;30;15;0;0;25;0;0;0;Social Offer
23;Super Plan 50GB All-in-One;160000;30;50;10;10;10;500;200;3;Premium Offer
